上海频道,#genre#
上海外语,http://39.134.39.39/PLTV/88888888/224/3221226201/index.m3u8
上海外语,http://183.207.255.188/live/program/live/wypdhd/4000000/mnf.m3u8
上海纪实,http://183.207.255.188/live/program/live/jspdhd/4000000/mnf.m3u8
法制天地,http://183.207.255.188/live/program/live/fztd/1300000/mnf.m3u8
浦东财经,http://183.207.255.188/live/program/live/dfcj/1300000/mnf.m3u8
七彩戏曲,http://183.207.255.188/live/program/live/qcxj/1300000/mnf.m3u8
七彩戏曲,http://112.25.48.68/live/program/live/qcxj/1300000/mnf.m3u8
七彩戏曲,http://140.207.241.2:8080/live/program/live/qcxj/1300000/mnf.m3u8
生活时尚,http://183.207.255.188/live/program/live/shsshd/4000000/mnf.m3u8
新闻综合,http://183.207.255.188/live/program/live/xwzhhd/4000000/mnf.m3u8
东方影视,http://183.207.255.188/live/program/live/dsjpdhd/4000000/mnf.m3u8
上海都市,http://183.207.255.188/live/program/live/ylpdhd/4000000/mnf.m3u8
新视觉,http://183.207.255.188/live/program/live/xsjhd/4000000/mnf.m3u8
全纪实,http://183.207.255.188/live/program/live/qjshd/4000000/mnf.m3u8
全纪实,http://112.25.48.68/live/program/live/qjshd/4000000/mnf.m3u8
极速汽车,http://183.207.255.188/live/program/live/jsqchd/4000000/mnf.m3u8
动漫秀场,http://183.207.255.188/live/program/live/dmxchd/4000000/mnf.m3u8
欢笑剧场,http://183.207.255.188/live/program/live/hxjchd/4000000/mnf.m3u8
游戏风云,http://183.207.255.188/live/program/live/yxfyhd/4000000/mnf.m3u8
游戏风云,http://112.25.48.68/live/program/live/yxfyhd/4000000/mnf.m3u8
五星体育,http://39.134.134.89/000000001000/5000000010000017540/index.m3u8
五星体育,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/ssty/4000000/mnf.m3u8
五星体育,http://112.25.48.68/live/program/live/ssty/4000000/mnf.m3u8
魅力足球,http://27.47.68.26:808/hls/50/index.m3u8
哈哈炫动,http://183.207.255.188/live/program/live/hhxdhd/4000000/mnf.m3u8
哈哈炫动,http://183.207.255.188/live/program/live/xdkt/1300000/mnf.m3u8
央视频道,#genre#
CCTV-1综合,http://117.148.179.155/PLTV/88888888/224/3221231468/index.m3u8
CCTV-1综合,http://117.148.179.42/PLTV/88888888/224/3221229818/index.m3u8
CCTV-1综合,http://117.148.179.15/PLTV/88888888/224/3221229840/index.m3u8
CCTV-2财经,http://117.148.179.147/PLTV/88888888/224/3221231678/index.m3u8
CCTV-2财经,http://39.135.138.57:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV-3综艺,http://117.148.179.183/PLTV/88888888/224/3221231682/index.m3u8
CCTV-3综艺,http://117.148.179.37/PLTV/88888888/224/3221229875/index.m3u8
CCTV-3综艺,http://112.15.230.56/PLTV/88888888/224/3221230740/index.m3u8
CCTV-3综艺,http://112.15.230.56/PLTV/88888888/224/3221230740/index.m3u8
CCTV-4国际,http://117.148.179.182/PLTV/88888888/224/3221231726/index.m3u8
CCTV-5体育,http://112.15.230.55/PLTV/88888888/224/3221230734/index.m3u8
CCTV-5体育,http://223.110.243.137/PLTV/3/224/3221227478/index.m3u8
CCTV-5+体育,http://117.148.179.136/PLTV/88888888/224/3221231459/index.m3u8
CCTV-5+体育,http://117.148.179.37/PLTV/88888888/224/3221228822/index.m3u8
CCTV-5+体育,http://39.135.138.58:18890/PLTV/88888910/224/3221225706/index.m3u8?
CCTV-5+体育,http://223.110.245.139/PLTV/4/224/3221227480/index.m3u8
CCTV-6电影,http://117.148.179.153/PLTV/88888888/224/3221231724/index.m3u8
CCTV-6电影,http://117.148.179.37/PLTV/88888888/224/3221229870/index.m3u8
CCTV-6电影,http://117.148.179.37/PLTV/88888888/224/3221229873/index.m3u8
CCTV-7军事,http://117.148.179.160/PLTV/88888888/224/3221231633/index.m3u8
CCTV-8电视,http://117.148.179.160/PLTV/88888888/224/3221231694/index.m3u8
CCTV-9纪录,http://117.148.179.162/PLTV/88888888/224/3221231697/index.m3u8
CCTV-10科教,http://117.148.179.175/PLTV/88888888/224/3221231666/index.m3u8
